AA_MAXRMS,AA_NumberofsamplesaboveRMSTH,AA_LogicalIgnition,InstallStationId,AfterCrashStoppingStatus3,VehicleManu,VehicleModel,MokedStatusDesc,IMPACTX,IMPACTY,IMPACTZ,ORX,ORY,ORZ,Speed,XaxisEnabled,YaxisEnabled,ZaxisEnabled,IMPACTXYZAvg,MaxIMPACTAxis,vtype
2.1245,1,1,0,1,Nissan,Qashqai,no_answer,0.8840001,1.932,1.82,-0.06,-0.428,-0.892,39,1,1,0,6,Y,CrossOver                               
4.156,3,1,0,1,Citroen,C5 Aircross,bumper,-2.732,3.132,0.96,-0.004,-0.044,-1.024,0,1,1,0,8,Y,CrossOver                               
2.69325,3,1,0,1,Citroen,C5 Aircross,false_alarm,1.06,2.476,1.44,-0.02,-0.012,-1.024,1,1,1,0,6,Y,CrossOver                               
3.22225,3,1,0,1,Peugeot,3008D,bumper,2.048,-2.488,-1.436,0.032,0.008,-1.044,5,1,1,0,7,Y,Min Van (6+1)                           
2.788,5,1,0,1,Mitsubishi,Attrage,false_alarm,0.448,2.752,-0.628,0.048,0,-1.004,5,1,1,0,5,Y,Private                                 
2.74575,1,1,0,1,Nissan,X-trail,false_alarm,-0.276,2.732,0.096,-0.064,0.14,-1.036,3,1,1,0,5,Y,CrossOver                               
3.26775,6,0,0,1,Toyota,Corolla,false_alarm,3.052,-1.168,1.768,0.08400001,-0.08000001,-1.016,0,1,1,0,7,X,Private                                 
3.10975,4,1,0,1,Hyundai,I20,garage,2.852,-1.24,3.44,-0.292,0.216,-0.96,1,1,1,0,9,Z,Private                                 
4.48,1,0,0,1,Renault,Grand Coupe,false_alarm,4.48,-0.004,0.004,0.004,0.06,-1.052,0,1,1,0,6,X,Private                                 
4.48,1,0,0,1,Renault,Grand Coupe,false_alarm,4.48,-0.004,0.004,0.004,0.06,-1.052,0,1,1,0,6,X,Private                                 
2.4035,2,1,0,1,Nissan,Qashqai,bumper,0.496,-2.352,3.256,-0.14,-0.468,-0.868,3,1,1,0,8,Z,CrossOver                               
2.69675,3,1,0,1,Nissan,X-trail,false_alarm,0.532,-2.644,-1.24,0.08400001,0.176,-0.9680001,0,1,1,0,6,Y,CrossOver                               
2.79825,3,1,0,1,Citroen,C5 Aircross D,false_alarm,2.728,-0.624,-2.088,-0.024,0.336,-0.984,0,1,1,0,7,X,CrossOver                               
3.064,4,1,0,1,Citroen,C5 Aircross D,false_alarm,-0.624,-3,0.648,-0.192,-0.152,-0.984,1,1,1,0,6,Y,CrossOver                               
5.78075,6,1,0,1,Peugeot,3008D,accident,-0.384,-5.768,0.24,0.016,-0.056,-1.008,3,1,1,0,8,Y,Min Van (6+1)                           
4.917,1,1,0,1,Nissan,X-trail,false_alarm,4.916,0.104,-0.036,0.07600001,-0.44,-0.864,4,1,1,0,7,X,CrossOver                               
